rule,race_id,combination,race_date,odds,estimated_payout,is_hit,hit_payout,hit_popularity,return_yen,direct_ticket_score,direct_expected_return,direct_ticket_rank,direct_expected_rank,month,day,race_score,expected_return,source_rules,strategy
direct_v1_middle_odds,2420260101010005,1-5-7,2026-01-01,30.6,3060,0,24740.0,85.0,0.0,0.9063356285097316,2773.3870232397785,5,201,2026-01,2026-01-01,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,2420260101010007,7-1-5,2026-01-01,30.2,3020,0,7980.0,18.0,0.0,0.90197312220589,2723.958829061788,7,192,2026-01,2026-01-01,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,5620251231020006,5-1-3,2026-01-01,30.7,3070,0,1460.0,3.0,0.0,0.9009968908857354,2766.060455019208,8,108,2026-01,2026-01-01,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,5620251231020008,1-5-2,2026-01-01,30.5,3050,0,95100.0,181.0,0.0,0.9162073767628404,2794.432499126663,4,202,2026-01,2026-01-01,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,6220251231020002,4-3-6,2026-01-01,30.3,3030,0,2530.0,4.0,0.0,0.9165075790488356,2777.0179645179724,4,198,2026-01,2026-01-01,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,8120251230030008,2-5-6,2026-01-01,30.7,3070,0,9150.0,25.0,0.0,0.9039258628949656,2775.052399087544,7,202,2026-01,2026-01-01,,,direct_v1_middle_odds,middle_plus_high_top5
high_odds_v1_top5,8320251230030008,3-4-7,2026-01-01,223.7,22370,0,16720.0,60.0,0.0,0.4475271738837549,10011.182879779595,55,69,2026-01,2026-01-01,0.4908923938126329,10011.182879779595,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,8320251230030008,4-2-6,2026-01-01,241.1,24110,0,16720.0,60.0,0.0,0.4150791419114799,10007.55811148578,65,70,2026-01,2026-01-01,0.4908923938126329,10007.55811148578,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,8320251230030008,4-2-7,2026-01-01,225.9,22590,0,16720.0,60.0,0.0,0.4325852263085987,9772.100262311244,59,73,2026-01,2026-01-01,0.4908923938126329,9772.100262311244,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,8320251230030008,4-3-6,2026-01-01,220.6,22060,0,16720.0,60.0,0.0,0.48330775770049,10661.769134872811,48,61,2026-01,2026-01-01,0.4908923938126329,10661.76913487281,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,8320251230030008,4-3-7,2026-01-01,198.4,19840,0,16720.0,60.0,0.0,0.5359281640977838,10632.81477570003,42,62,2026-01,2026-01-01,0.4908923938126329,10632.814775700032,high_odds_v1_top5,middle_plus_high_top5
direct_v1_middle_odds,2220260102010004,3-4-5,2026-01-02,30.2,3020,0,129910.0,163.0,0.0,0.9112710367430392,2752.0385309639787,5,201,2026-01,2026-01-02,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,3820260101020006,1-3-4,2026-01-02,30.6,3060,0,1890.0,3.0,0.0,0.913519097628088,2795.36843874195,8,108,2026-01,2026-01-02,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,4320260102010003,2-1-7,2026-01-02,30.2,3020,0,12520.0,42.0,0.0,0.918465897918126,2773.767011712741,6,200,2026-01,2026-01-02,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,4520260102010002,2-4-7,2026-01-02,30.0,3000,0,12810.0,46.0,0.0,0.9151698436317298,2745.509530895189,9,178,2026-01,2026-01-02,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,4720251231030003,1-5-4,2026-01-02,30.1,3010,0,2660.0,7.0,0.0,0.9070557244083356,2730.2377304690904,8,141,2026-01,2026-01-02,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,4720251231030008,4-5-3,2026-01-02,30.2,3020,0,21130.0,87.0,0.0,0.9008988550954964,2720.714542388399,2,207,2026-01,2026-01-02,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,6220251231030002,4-1-5,2026-01-02,30.7,3070,0,1400.0,2.0,0.0,0.90316119512694,2772.704869039706,6,199,2026-01,2026-01-02,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,6220251231030004,5-4-1,2026-01-02,30.5,3050,0,1510.0,3.0,0.0,0.9004862601385861,2746.4830934226875,5,180,2026-01,2026-01-02,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,2420260101030003,2-5-4,2026-01-03,30.2,3020,0,3230.0,7.0,0.0,0.904941851449494,2732.924391377472,5,202,2026-01,2026-01-03,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,2420260101030004,5-3-1,2026-01-03,30.4,3040,0,2510.0,6.0,0.0,0.9107223251565624,2768.59586847595,6,179,2026-01,2026-01-03,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,3620260103010004,4-1-5,2026-01-03,30.2,3020,0,840.0,2.0,0.0,0.9005861026247158,2719.7700299266417,10,195,2026-01,2026-01-03,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,3820260101030003,7-5-4,2026-01-03,30.5,3050,0,4690.0,10.0,0.0,0.9283057564341116,2831.3325571240407,5,197,2026-01,2026-01-03,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,4520260102020007,5-1-2,2026-01-03,30.4,3040,0,1490.0,3.0,0.0,0.9009978984189044,2739.03361119347,13,174,2026-01,2026-01-03,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,7420260102020006,2-4-6,2026-01-03,30.3,3030,1,3030.0,10.0,3030.0,0.913892507138082,2769.0942966283883,9,189,2026-01,2026-01-03,,,direct_v1_middle_odds,middle_plus_high_top5
high_odds_v1_top5,1320260103020002,4-5-3,2026-01-04,141.0,14100,0,3590.0,10.0,0.0,0.4480308204775278,6317.234568733143,44,141,2026-01,2026-01-04,0.4648040974064052,6317.234568733143,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,1320260103020002,4-7-6,2026-01-04,145.1,14510,0,3590.0,10.0,0.0,0.5088857036832037,7383.931560443286,38,100,2026-01,2026-01-04,0.4648040974064052,7383.931560443286,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,1320260103020002,7-3-6,2026-01-04,146.8,14680,0,3590.0,10.0,0.0,0.5016609866267218,7364.383283680276,39,102,2026-01,2026-01-04,0.4648040974064052,7364.383283680276,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,1320260103020002,7-4-5,2026-01-04,181.9,18190,0,3590.0,10.0,0.0,0.4049551191727096,7366.133617751589,47,101,2026-01,2026-01-04,0.4648040974064052,7366.133617751588,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,1320260103020002,7-4-6,2026-01-04,105.4,10540,0,3590.0,10.0,0.0,0.6204436210448887,6539.475765813127,28,133,2026-01,2026-01-04,0.4648040974064052,6539.475765813127,high_odds_v1_top5,middle_plus_high_top5
direct_v1_middle_odds,1320260103020003,5-2-1,2026-01-04,30.1,3010,0,3630.0,11.0,0.0,0.9159069152322248,2756.879814848997,7,198,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,2220260102030006,3-2-1,2026-01-04,30.0,3000,0,17900.0,57.0,0.0,0.9176448573112064,2752.93457193362,8,196,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
high_odds_v1_top5,2820260104010001,1-9-7,2026-01-04,106.4,10640,0,7510.0,29.0,0.0,0.6171875786738572,6566.87583708984,27,172,2026-01,2026-01-04,0.4999200869584493,6566.875837089841,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010001,5-1-2,2026-01-04,140.5,14050,0,7510.0,29.0,0.0,0.4064935704876568,5711.234665351578,47,217,2026-01,2026-01-04,0.4999200869584493,5711.234665351578,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010001,5-1-9,2026-01-04,111.1,11110,0,7510.0,29.0,0.0,0.4535061067152767,5038.452845606725,45,248,2026-01,2026-01-04,0.4999200869584493,5038.452845606724,high_odds_v1_top5,middle_plus_high_top5
direct_v1_middle_odds,2820260104010001,7-1-9,2026-01-04,30.2,3020,0,7510.0,29.0,0.0,0.901440307718166,2722.349729308861,2,371,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
high_odds_v1_top5,2820260104010001,7-5-2,2026-01-04,105.4,10540,0,7510.0,29.0,0.0,0.496139464096689,5229.309951579102,38,242,2026-01,2026-01-04,0.4999200869584493,5229.309951579103,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010001,9-1-3,2026-01-04,117.5,11750,0,7510.0,29.0,0.0,0.4546734463226738,5342.412994291417,44,231,2026-01,2026-01-04,0.4999200869584493,5342.412994291417,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010003,1-2-7,2026-01-04,116.3,11630,0,5920.0,16.0,0.0,0.4283836608687059,4982.1019759030505,31,274,2026-01,2026-01-04,0.5567554514305387,4982.10197590305,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010003,1-9-5,2026-01-04,175.0,17500,0,5920.0,16.0,0.0,0.4061556116497969,7107.723203871446,33,163,2026-01,2026-01-04,0.5567554514305387,7107.723203871446,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010003,3-7-4,2026-01-04,115.4,11540,0,5920.0,16.0,0.0,0.4940881178525121,5701.77688001799,29,239,2026-01,2026-01-04,0.5567554514305387,5701.77688001799,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010003,3-7-5,2026-01-04,129.4,12940,0,5920.0,16.0,0.0,0.4668013313770418,6040.409228018922,30,219,2026-01,2026-01-04,0.5567554514305387,6040.409228018921,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010003,7-3-2,2026-01-04,136.1,13610,0,5920.0,16.0,0.0,0.4134935786824171,5627.647605867696,32,243,2026-01,2026-01-04,0.5567554514305387,5627.647605867696,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010005,2-1-7,2026-01-04,100.0,10000,0,4710.0,12.0,0.0,0.434128253834846,4341.28253834846,29,296,2026-01,2026-01-04,0.4988544971334533,4341.282538348461,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010005,3-5-1,2026-01-04,179.7,17970,0,4710.0,12.0,0.0,0.4339158643069157,7797.468081595275,30,145,2026-01,2026-01-04,0.4988544971334533,7797.468081595275,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010005,3-8-5,2026-01-04,134.9,13490,0,4710.0,12.0,0.0,0.4170929858331314,5626.584378888943,32,230,2026-01,2026-01-04,0.4988544971334533,5626.584378888943,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010005,5-3-7,2026-01-04,216.4,21640,0,4710.0,12.0,0.0,0.4474720713368136,9683.295623728647,28,98,2026-01,2026-01-04,0.4988544971334533,9683.295623728647,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010005,5-3-8,2026-01-04,107.2,10720,0,4710.0,12.0,0.0,0.5131101581624765,5500.540895501748,26,239,2026-01,2026-01-04,0.4988544971334533,5500.540895501748,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010006,1-3-9,2026-01-04,162.9,16290,0,3080.0,7.0,0.0,0.4368826618089295,7116.818560867462,45,170,2026-01,2026-01-04,0.4971194063057106,7116.818560867462,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010006,2-7-1,2026-01-04,222.4,22240,0,3080.0,7.0,0.0,0.405469227601086,9017.635621848152,50,93,2026-01,2026-01-04,0.4971194063057106,9017.635621848152,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010006,2-7-9,2026-01-04,221.7,22170,0,3080.0,7.0,0.0,0.4118313815464089,9130.301728883886,48,90,2026-01,2026-01-04,0.4971194063057106,9130.301728883884,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010006,2-9-3,2026-01-04,174.4,17440,0,3080.0,7.0,0.0,0.4144286745970871,7227.636084973199,47,164,2026-01,2026-01-04,0.4971194063057106,7227.636084973199,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010006,5-3-9,2026-01-04,144.3,14430,0,3080.0,7.0,0.0,0.5322768185096226,7680.754491093854,32,138,2026-01,2026-01-04,0.4971194063057106,7680.754491093855,high_odds_v1_top5,middle_plus_high_top5
direct_v1_middle_odds,2820260104010006,9-2-8,2026-01-04,30.5,3050,0,3080.0,7.0,0.0,0.9064359713057816,2764.629712482634,4,381,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
high_odds_v1_top5,2820260104010008,2-1-9,2026-01-04,122.3,12230,0,24970.0,62.0,0.0,0.4061896998257099,4967.700028868432,31,230,2026-01,2026-01-04,0.4602117987311964,4967.700028868432,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010008,2-9-3,2026-01-04,103.3,10330,0,24970.0,62.0,0.0,0.5564931411103655,5748.574147670076,26,197,2026-01,2026-01-04,0.4602117987311964,5748.574147670076,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010008,3-7-1,2026-01-04,144.1,14410,0,24970.0,62.0,0.0,0.410921809946838,5921.383281333936,30,188,2026-01,2026-01-04,0.4602117987311964,5921.383281333936,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010009,1-2-7,2026-01-04,108.6,10860,0,5460.0,17.0,0.0,0.4449698399520049,4832.372461878774,31,219,2026-01,2026-01-04,0.4873997979576058,4832.372461878773,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010009,1-2-9,2026-01-04,101.3,10130,0,5460.0,17.0,0.0,0.428513850945419,4340.845310077095,32,255,2026-01,2026-01-04,0.4873997979576058,4340.845310077094,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010009,2-7-1,2026-01-04,103.2,10320,0,5460.0,17.0,0.0,0.4814635306274842,4968.703636075637,29,209,2026-01,2026-01-04,0.4873997979576058,4968.703636075637,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010009,7-1-4,2026-01-04,111.5,11150,0,5460.0,17.0,0.0,0.4577099709914409,5103.466176554567,30,198,2026-01,2026-01-04,0.4873997979576058,5103.466176554566,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010009,9-1-5,2026-01-04,113.8,11380,0,5460.0,17.0,0.0,0.4265116891483781,4853.703022508543,33,215,2026-01,2026-01-04,0.4873997979576058,4853.703022508543,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010012,2-8-6,2026-01-04,282.7,28270,0,51470.0,231.0,0.0,0.403400950765739,11404.14487814744,15,52,2026-01,2026-01-04,0.7935364746042981,11404.14487814744,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010012,3-1-6,2026-01-04,213.4,21340,0,51470.0,231.0,0.0,0.4050909108589258,8644.640037729478,12,90,2026-01,2026-01-04,0.7935364746042981,8644.640037729476,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010012,3-4-6,2026-01-04,255.4,25540,0,51470.0,231.0,0.0,0.403569014281836,10307.152624758091,14,68,2026-01,2026-01-04,0.7935364746042981,10307.152624758091,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010012,5-3-7,2026-01-04,140.7,14070,0,51470.0,231.0,0.0,0.4423344799238375,6223.646132528394,7,183,2026-01,2026-01-04,0.7935364746042981,6223.6461325283935,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104010012,5-7-6,2026-01-04,282.2,28220,0,51470.0,231.0,0.0,0.4194606662701258,11837.180002142952,9,48,2026-01,2026-01-04,0.7935364746042981,11837.18000214295,high_odds_v1_top5,middle_plus_high_top5
direct_v1_middle_odds,4520260102030004,7-2-3,2026-01-04,30.3,3030,0,3610.0,12.0,0.0,0.923702666696822,2798.819080091371,6,196,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,4520260102030008,7-5-4,2026-01-04,30.0,3000,1,3000.0,4.0,3000.0,0.9149353635439932,2744.80609063198,4,189,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,4520260102030011,2-3-4,2026-01-04,30.4,3040,0,6130.0,22.0,0.0,0.9029409966475684,2744.940629808608,10,195,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,4520260102030012,2-7-5,2026-01-04,30.5,3050,0,7820.0,28.0,0.0,0.9084521044950354,2770.7789187098583,7,200,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,8620260104010002,1-4-5,2026-01-04,30.6,3060,0,730.0,1.0,0.0,0.905579324231004,2771.072732146872,9,197,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,8620260104010002,4-1-6,2026-01-04,30.1,3010,0,730.0,1.0,0.0,0.905647965295485,2726.0003755394096,8,198,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,8620260104010004,6-1-2,2026-01-04,30.1,3010,0,8210.0,25.0,0.0,0.9006534403279651,2710.966855387175,6,204,2026-01,2026-01-04,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,1320260103030003,2-1-4,2026-01-05,30.5,3050,0,29820.0,87.0,0.0,0.9182732479924016,2800.733406376825,7,196,2026-01,2026-01-05,,,direct_v1_middle_odds,middle_plus_high_top5
high_odds_v1_top5,2820260104020001,1-3-5,2026-01-05,218.0,21800,0,18720.0,56.0,0.0,0.4489374366729477,9786.83611947026,45,152,2026-01,2026-01-05,0.4943781417762581,9786.83611947026,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104020001,1-6-3,2026-01-05,227.4,22740,0,18720.0,56.0,0.0,0.457415960370749,10401.638938830833,43,137,2026-01,2026-01-05,0.4943781417762581,10401.638938830833,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104020001,1-6-5,2026-01-05,187.2,18720,1,18720.0,56.0,18720.0,0.5058740477268631,9469.962173446876,34,166,2026-01,2026-01-05,0.4943781417762581,9469.962173446876,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104020001,1-7-9,2026-01-05,196.1,19610,0,18720.0,56.0,0.0,0.4280570802172069,8394.199343059428,48,208,2026-01,2026-01-05,0.4943781417762581,8394.199343059427,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104020001,3-5-9,2026-01-05,209.9,20990,0,18720.0,56.0,0.0,0.5216075611577821,10948.542708701843,30,128,2026-01,2026-01-05,0.4943781417762581,10948.542708701849,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104020009,1-7-5,2026-01-05,148.7,14870,0,27940.0,61.0,0.0,0.4743262366061372,7053.23113833326,31,159,2026-01,2026-01-05,0.4725913507187299,7053.23113833326,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104020009,7-5-2,2026-01-05,124.9,12490,0,27940.0,61.0,0.0,0.4174002918471924,5213.329645171434,35,229,2026-01,2026-01-05,0.4725913507187299,5213.329645171434,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104020009,7-9-4,2026-01-05,102.9,10290,0,27940.0,61.0,0.0,0.5174074418386692,5324.122576519906,29,224,2026-01,2026-01-05,0.4725913507187299,5324.122576519906,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104020009,9-7-1,2026-01-05,159.7,15970,0,27940.0,61.0,0.0,0.4429381593324566,7073.722404539332,34,158,2026-01,2026-01-05,0.4725913507187299,7073.722404539332,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104020009,9-7-6,2026-01-05,326.1,32610,0,27940.0,61.0,0.0,0.4570917009759367,14905.760368825298,33,47,2026-01,2026-01-05,0.4725913507187299,14905.760368825298,high_odds_v1_top5,middle_plus_high_top5
direct_v1_middle_odds,4720260105010002,2-1-7,2026-01-05,30.0,3000,0,4990.0,14.0,0.0,0.913373859579612,2740.121578738836,7,197,2026-01,2026-01-05,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,4720260105010004,3-5-2,2026-01-05,30.3,3030,0,350.0,1.0,0.0,0.905771750915816,2744.488405274922,7,195,2026-01,2026-01-05,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,7320260103030001,1-2-5,2026-01-05,30.6,3060,0,1900.0,4.0,0.0,0.9129536121406606,2793.638053150421,10,199,2026-01,2026-01-05,,,direct_v1_middle_odds,middle_plus_high_top5
direct_v1_middle_odds,7320260103030010,2-7-3,2026-01-05,30.3,3030,1,3030.0,7.0,3030.0,0.9031936733655346,2736.6768302975697,3,149,2026-01,2026-01-05,,,direct_v1_middle_odds,middle_plus_high_top5
high_odds_v1_top5,2820260104030001,2-7-8,2026-01-06,130.2,13020,0,40440.0,126.0,0.0,0.4473094925999522,5823.969593651377,34,397,2026-01,2026-01-06,0.5609887493906348,5823.969593651377,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030001,2-7-9,2026-01-06,145.9,14590,0,40440.0,126.0,0.0,0.4183136746132962,6103.196512607992,44,383,2026-01,2026-01-06,0.5609887493906348,6103.196512607992,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030001,2-8-3,2026-01-06,145.3,14530,0,40440.0,126.0,0.0,0.4389927991224887,6378.565371249761,35,370,2026-01,2026-01-06,0.5609887493906348,6378.5653712497615,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030001,2-9-7,2026-01-06,194.2,19420,0,40440.0,126.0,0.0,0.4248947211966654,8251.455485639242,40,265,2026-01,2026-01-06,0.5609887493906348,8251.45548563924,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030001,2-9-8,2026-01-06,169.4,16940,0,40440.0,126.0,0.0,0.4196131009092309,7108.245929402371,41,328,2026-01,2026-01-06,0.5609887493906348,7108.245929402371,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030002,1-7-4,2026-01-06,195.4,19540,0,5670.0,13.0,0.0,0.412933779495132,8068.72605133488,43,250,2026-01,2026-01-06,0.6390210665065154,8068.726051334879,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030002,3-9-7,2026-01-06,207.4,20740,0,5670.0,13.0,0.0,0.4209613071890283,8730.737511100448,39,218,2026-01,2026-01-06,0.6390210665065154,8730.737511100448,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030002,7-8-9,2026-01-06,211.3,21130,0,5670.0,13.0,0.0,0.4014961673574772,8483.614016263493,45,227,2026-01,2026-01-06,0.6390210665065154,8483.614016263493,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030002,8-5-6,2026-01-06,235.8,23580,0,5670.0,13.0,0.0,0.4510400006070484,10635.523214314202,34,164,2026-01,2026-01-06,0.6390210665065154,10635.523214314202,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030002,8-9-7,2026-01-06,166.9,16690,0,5670.0,13.0,0.0,0.5418302578441927,9043.147003419575,25,208,2026-01,2026-01-06,0.6390210665065154,9043.147003419575,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030004,1-7-5,2026-01-06,202.0,20200,0,1690.0,1.0,0.0,0.4202362320334565,8488.771887075822,53,162,2026-01,2026-01-06,0.4920240715131727,8488.771887075822,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030004,2-7-3,2026-01-06,154.7,15470,0,1690.0,1.0,0.0,0.4576083662434218,7079.201425785735,45,233,2026-01,2026-01-06,0.4920240715131727,7079.201425785735,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030004,2-7-5,2026-01-06,187.4,18740,0,1690.0,1.0,0.0,0.4272627855111813,8006.904600479538,50,180,2026-01,2026-01-06,0.4920240715131727,8006.904600479538,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030004,3-1-5,2026-01-06,167.9,16790,0,1690.0,1.0,0.0,0.468592816903964,7867.673395817556,40,192,2026-01,2026-01-06,0.4920240715131727,7867.673395817556,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030004,7-2-5,2026-01-06,172.6,17260,0,1690.0,1.0,0.0,0.4684571771951059,8085.570878387527,41,177,2026-01,2026-01-06,0.4920240715131727,8085.570878387527,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030005,2-3-5,2026-01-06,158.5,15850,0,5670.0,20.0,0.0,0.4723865786611976,7487.327271779983,37,169,2026-01,2026-01-06,0.4517956408904393,7487.327271779982,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030005,2-7-5,2026-01-06,207.9,20790,0,5670.0,20.0,0.0,0.4208071672529384,8748.581007188588,40,127,2026-01,2026-01-06,0.4517956408904393,8748.58100718859,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030005,2-9-5,2026-01-06,148.7,14870,0,5670.0,20.0,0.0,0.4089264229852025,6080.735909789961,43,218,2026-01,2026-01-06,0.4517956408904393,6080.735909789961,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030005,3-5-7,2026-01-06,124.4,12440,0,5670.0,20.0,0.0,0.5086701994330075,6327.857280946613,31,208,2026-01,2026-01-06,0.4517956408904393,6327.857280946613,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030005,3-9-7,2026-01-06,193.8,19380,0,5670.0,20.0,0.0,0.4304664144707963,8342.439112444032,39,136,2026-01,2026-01-06,0.4517956408904393,8342.439112444034,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030006,3-9-1,2026-01-06,357.0,35700,0,430.0,1.0,0.0,0.4186216988951732,14944.794650557684,30,101,2026-01,2026-01-06,0.513357007369209,14944.794650557682,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030006,3-9-2,2026-01-06,135.3,13530,0,430.0,1.0,0.0,0.4895406020199952,6623.484345330536,26,251,2026-01,2026-01-06,0.513357007369209,6623.484345330536,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030006,3-9-6,2026-01-06,119.2,11920,0,430.0,1.0,0.0,0.4756131427246128,5669.308661277385,28,283,2026-01,2026-01-06,0.513357007369209,5669.308661277385,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030006,6-9-2,2026-01-06,365.4,36540,0,430.0,1.0,0.0,0.4151517567247812,15169.645190723506,31,99,2026-01,2026-01-06,0.513357007369209,15169.645190723506,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030006,9-8-2,2026-01-06,193.7,19370,0,430.0,1.0,0.0,0.4093341538613019,7928.802560293418,33,212,2026-01,2026-01-06,0.513357007369209,7928.802560293417,high_odds_v1_top5,middle_plus_high_top5
high_odds_v1_top5,2820260104030007,1-4-9,2026-01-06,155.8,15580,0,18370.0,61.0,0.0,0.4382455693797654,6827.865970936745,45,332,2026-01,2026-01-06,0.650768814387842,6827.865970936745,high_odds_v1_top5,middle_plus_high_top5
