race_date,race_id,tickets,return_yen,hits,bet,profit,cum_profit,running_peak,drawdown
2026-01-01,2420260101010005,1,0.0,0,100,-100.0,-100.0,-100.0,0.0
2026-01-01,2420260101010007,1,0.0,0,100,-100.0,-200.0,-100.0,-100.0
2026-01-01,5620251231020006,1,0.0,0,100,-100.0,-300.0,-100.0,-200.0
2026-01-01,5620251231020008,1,0.0,0,100,-100.0,-400.0,-100.0,-300.0
2026-01-01,6220251231020002,1,0.0,0,100,-100.0,-500.0,-100.0,-400.0
2026-01-01,8120251230030008,1,0.0,0,100,-100.0,-600.0,-100.0,-500.0
2026-01-01,8320251230030008,5,0.0,0,500,-500.0,-1100.0,-100.0,-1000.0
2026-01-02,2220260102010004,1,0.0,0,100,-100.0,-1200.0,-100.0,-1100.0
2026-01-02,3820260101020006,1,0.0,0,100,-100.0,-1300.0,-100.0,-1200.0
2026-01-02,4320260102010003,1,0.0,0,100,-100.0,-1400.0,-100.0,-1300.0
2026-01-02,4520260102010002,1,0.0,0,100,-100.0,-1500.0,-100.0,-1400.0
2026-01-02,4720251231030003,1,0.0,0,100,-100.0,-1600.0,-100.0,-1500.0
2026-01-02,4720251231030008,1,0.0,0,100,-100.0,-1700.0,-100.0,-1600.0
2026-01-02,6220251231030002,1,0.0,0,100,-100.0,-1800.0,-100.0,-1700.0
2026-01-02,6220251231030004,1,0.0,0,100,-100.0,-1900.0,-100.0,-1800.0
2026-01-03,2420260101030003,1,0.0,0,100,-100.0,-2000.0,-100.0,-1900.0
2026-01-03,2420260101030004,1,0.0,0,100,-100.0,-2100.0,-100.0,-2000.0
2026-01-03,3620260103010004,1,0.0,0,100,-100.0,-2200.0,-100.0,-2100.0
2026-01-03,3820260101030003,1,0.0,0,100,-100.0,-2300.0,-100.0,-2200.0
2026-01-03,4520260102020007,1,0.0,0,100,-100.0,-2400.0,-100.0,-2300.0
2026-01-03,7420260102020006,1,3030.0,1,100,2930.0,530.0,530.0,0.0
2026-01-04,1320260103020002,5,0.0,0,500,-500.0,30.0,530.0,-500.0
2026-01-04,1320260103020003,1,0.0,0,100,-100.0,-70.0,530.0,-600.0
2026-01-04,2220260102030006,1,0.0,0,100,-100.0,-170.0,530.0,-700.0
2026-01-04,2820260104010001,6,0.0,0,600,-600.0,-770.0,530.0,-1300.0
2026-01-04,2820260104010003,5,0.0,0,500,-500.0,-1270.0,530.0,-1800.0
2026-01-04,2820260104010005,5,0.0,0,500,-500.0,-1770.0,530.0,-2300.0
2026-01-04,2820260104010006,6,0.0,0,600,-600.0,-2370.0,530.0,-2900.0
2026-01-04,2820260104010008,3,0.0,0,300,-300.0,-2670.0,530.0,-3200.0
2026-01-04,2820260104010009,5,0.0,0,500,-500.0,-3170.0,530.0,-3700.0
2026-01-04,2820260104010012,5,0.0,0,500,-500.0,-3670.0,530.0,-4200.0
2026-01-04,4520260102030004,1,0.0,0,100,-100.0,-3770.0,530.0,-4300.0
2026-01-04,4520260102030008,1,3000.0,1,100,2900.0,-870.0,530.0,-1400.0
2026-01-04,4520260102030011,1,0.0,0,100,-100.0,-970.0,530.0,-1500.0
2026-01-04,4520260102030012,1,0.0,0,100,-100.0,-1070.0,530.0,-1600.0
2026-01-04,8620260104010002,2,0.0,0,200,-200.0,-1270.0,530.0,-1800.0
2026-01-04,8620260104010004,1,0.0,0,100,-100.0,-1370.0,530.0,-1900.0
2026-01-05,1320260103030003,1,0.0,0,100,-100.0,-1470.0,530.0,-2000.0
2026-01-05,2820260104020001,5,18720.0,1,500,18220.0,16750.0,16750.0,0.0
2026-01-05,2820260104020009,5,0.0,0,500,-500.0,16250.0,16750.0,-500.0
2026-01-05,4720260105010002,1,0.0,0,100,-100.0,16150.0,16750.0,-600.0
2026-01-05,4720260105010004,1,0.0,0,100,-100.0,16050.0,16750.0,-700.0
2026-01-05,7320260103030001,1,0.0,0,100,-100.0,15950.0,16750.0,-800.0
2026-01-05,7320260103030010,1,3030.0,1,100,2930.0,18880.0,18880.0,0.0
2026-01-06,2820260104030001,5,0.0,0,500,-500.0,18380.0,18880.0,-500.0
2026-01-06,2820260104030002,5,0.0,0,500,-500.0,17880.0,18880.0,-1000.0
2026-01-06,2820260104030004,5,0.0,0,500,-500.0,17380.0,18880.0,-1500.0
2026-01-06,2820260104030005,5,0.0,0,500,-500.0,16880.0,18880.0,-2000.0
2026-01-06,2820260104030006,5,0.0,0,500,-500.0,16380.0,18880.0,-2500.0
2026-01-06,2820260104030007,5,0.0,0,500,-500.0,15880.0,18880.0,-3000.0
2026-01-06,2820260104030008,6,0.0,0,600,-600.0,15280.0,18880.0,-3600.0
2026-01-06,2820260104030009,5,0.0,0,500,-500.0,14780.0,18880.0,-4100.0
2026-01-06,2820260104030011,5,0.0,0,500,-500.0,14280.0,18880.0,-4600.0
2026-01-06,2820260104030012,5,0.0,0,500,-500.0,13780.0,18880.0,-5100.0
2026-01-06,6120260104030005,1,0.0,0,100,-100.0,13680.0,18880.0,-5200.0
2026-01-06,8320260106010011,1,0.0,0,100,-100.0,13580.0,18880.0,-5300.0
2026-01-07,2820260104040002,5,0.0,0,500,-500.0,13080.0,18880.0,-5800.0
2026-01-07,2820260104040003,5,0.0,0,500,-500.0,12580.0,18880.0,-6300.0
2026-01-07,2820260104040004,5,0.0,0,500,-500.0,12080.0,18880.0,-6800.0
2026-01-07,2820260104040005,5,0.0,0,500,-500.0,11580.0,18880.0,-7300.0
2026-01-07,2820260104040006,5,0.0,0,500,-500.0,11080.0,18880.0,-7800.0
2026-01-07,2820260104040007,5,0.0,0,500,-500.0,10580.0,18880.0,-8300.0
2026-01-07,2820260104040008,5,0.0,0,500,-500.0,10080.0,18880.0,-8800.0
2026-01-07,2820260104040010,5,0.0,0,500,-500.0,9580.0,18880.0,-9300.0
2026-01-07,2820260104040011,5,0.0,0,500,-500.0,9080.0,18880.0,-9800.0
2026-01-07,2820260104040012,5,0.0,0,500,-500.0,8580.0,18880.0,-10300.0
2026-01-07,4320260107010003,1,3050.0,1,100,2950.0,11530.0,18880.0,-7350.0
2026-01-07,4320260107010004,1,0.0,0,100,-100.0,11430.0,18880.0,-7450.0
2026-01-07,4320260107010008,1,0.0,0,100,-100.0,11330.0,18880.0,-7550.0
2026-01-07,4420260105030004,1,0.0,0,100,-100.0,11230.0,18880.0,-7650.0
2026-01-07,8320260106020006,1,0.0,0,100,-100.0,11130.0,18880.0,-7750.0
2026-01-08,4320260107020002,1,0.0,0,100,-100.0,11030.0,18880.0,-7850.0
2026-01-08,6220260107020004,1,0.0,0,100,-100.0,10930.0,18880.0,-7950.0
2026-01-08,6220260107020005,1,0.0,0,100,-100.0,10830.0,18880.0,-8050.0
2026-01-08,8120260108010007,1,0.0,0,100,-100.0,10730.0,18880.0,-8150.0
2026-01-08,8320260106030001,5,0.0,0,500,-500.0,10230.0,18880.0,-8650.0
2026-01-08,8320260106030004,1,0.0,0,100,-100.0,10130.0,18880.0,-8750.0
2026-01-09,2720260109010010,1,0.0,0,100,-100.0,10030.0,18880.0,-8850.0
2026-01-09,3520260108020001,1,0.0,0,100,-100.0,9930.0,18880.0,-8950.0
2026-01-09,3520260108020007,1,0.0,0,100,-100.0,9830.0,18880.0,-9050.0
2026-01-09,5520260109010001,6,0.0,0,600,-600.0,9230.0,18880.0,-9650.0
2026-01-09,5520260109010002,5,0.0,0,500,-500.0,8730.0,18880.0,-10150.0
2026-01-09,5520260109010003,5,0.0,0,500,-500.0,8230.0,18880.0,-10650.0
2026-01-09,5520260109010004,5,0.0,0,500,-500.0,7730.0,18880.0,-11150.0
2026-01-09,5520260109010005,5,0.0,0,500,-500.0,7230.0,18880.0,-11650.0
2026-01-09,5520260109010006,5,0.0,0,500,-500.0,6730.0,18880.0,-12150.0
2026-01-09,5520260109010007,6,0.0,0,600,-600.0,6130.0,18880.0,-12750.0
2026-01-09,5520260109010008,5,0.0,0,500,-500.0,5630.0,18880.0,-13250.0
2026-01-09,5520260109010009,6,0.0,0,600,-600.0,5030.0,18880.0,-13850.0
2026-01-09,8120260108020003,1,0.0,0,100,-100.0,4930.0,18880.0,-13950.0
2026-01-10,2720260109020004,1,0.0,0,100,-100.0,4830.0,18880.0,-14050.0
2026-01-10,2720260109020012,1,0.0,0,100,-100.0,4730.0,18880.0,-14150.0
2026-01-10,5520260109020001,5,0.0,0,500,-500.0,4230.0,18880.0,-14650.0
2026-01-10,5520260109020002,5,0.0,0,500,-500.0,3730.0,18880.0,-15150.0
2026-01-10,5520260109020003,5,0.0,0,500,-500.0,3230.0,18880.0,-15650.0
2026-01-10,5520260109020005,5,0.0,0,500,-500.0,2730.0,18880.0,-16150.0
2026-01-10,5520260109020006,5,0.0,0,500,-500.0,2230.0,18880.0,-16650.0
2026-01-10,5520260109020007,6,0.0,0,600,-600.0,1630.0,18880.0,-17250.0
2026-01-10,5520260109020008,2,0.0,0,200,-200.0,1430.0,18880.0,-17450.0
2026-01-10,6120260109020006,1,0.0,0,100,-100.0,1330.0,18880.0,-17550.0
2026-01-11,2720260109030006,1,0.0,0,100,-100.0,1230.0,18880.0,-17650.0
2026-01-11,2720260109030008,1,0.0,0,100,-100.0,1130.0,18880.0,-17750.0
2026-01-11,3120260111010001,1,0.0,0,100,-100.0,1030.0,18880.0,-17850.0
2026-01-11,3120260111010005,1,0.0,0,100,-100.0,930.0,18880.0,-17950.0
2026-01-11,5520260109030001,5,0.0,0,500,-500.0,430.0,18880.0,-18450.0
2026-01-11,5520260109030004,5,0.0,0,500,-500.0,-70.0,18880.0,-18950.0
2026-01-11,5520260109030005,5,0.0,0,500,-500.0,-570.0,18880.0,-19450.0
2026-01-11,5520260109030006,5,0.0,0,500,-500.0,-1070.0,18880.0,-19950.0
2026-01-11,5520260109030007,5,0.0,0,500,-500.0,-1570.0,18880.0,-20450.0
2026-01-11,5520260109030009,4,0.0,0,400,-400.0,-1970.0,18880.0,-20850.0
2026-01-11,5520260109030012,3,0.0,0,300,-300.0,-2270.0,18880.0,-21150.0
2026-01-11,6120260109030006,1,0.0,0,100,-100.0,-2370.0,18880.0,-21250.0
2026-01-11,7320260111010006,1,0.0,0,100,-100.0,-2470.0,18880.0,-21350.0
2026-01-12,4320260112010009,2,0.0,0,200,-200.0,-2670.0,18880.0,-21550.0
2026-01-12,5520260109040004,5,0.0,0,500,-500.0,-3170.0,18880.0,-22050.0
2026-01-12,5520260109040005,5,0.0,0,500,-500.0,-3670.0,18880.0,-22550.0
2026-01-12,5520260109040006,5,0.0,0,500,-500.0,-4170.0,18880.0,-23050.0
2026-01-12,5520260109040007,5,0.0,0,500,-500.0,-4670.0,18880.0,-23550.0
2026-01-12,5520260109040010,5,0.0,0,500,-500.0,-5170.0,18880.0,-24050.0
2026-01-12,5520260109040012,1,0.0,0,100,-100.0,-5270.0,18880.0,-24150.0
2026-01-12,7320260111020006,1,0.0,0,100,-100.0,-5370.0,18880.0,-24250.0
2026-01-13,2320260112020004,1,0.0,0,100,-100.0,-5470.0,18880.0,-24350.0
2026-01-13,2320260112020008,1,0.0,0,100,-100.0,-5570.0,18880.0,-24450.0
2026-01-13,2820260112020005,1,0.0,0,100,-100.0,-5670.0,18880.0,-24550.0
2026-01-13,5620260113010002,1,0.0,0,100,-100.0,-5770.0,18880.0,-24650.0
2026-01-13,5620260113010005,1,0.0,0,100,-100.0,-5870.0,18880.0,-24750.0
2026-01-13,7320260111030003,1,0.0,0,100,-100.0,-5970.0,18880.0,-24850.0
2026-01-13,7320260111030004,1,0.0,0,100,-100.0,-6070.0,18880.0,-24950.0
2026-01-14,2320260112030008,1,0.0,0,100,-100.0,-6170.0,18880.0,-25050.0
2026-01-14,2320260112030012,1,0.0,0,100,-100.0,-6270.0,18880.0,-25150.0
2026-01-14,3520260114010007,1,0.0,0,100,-100.0,-6370.0,18880.0,-25250.0
2026-01-14,3520260114010009,1,0.0,0,100,-100.0,-6470.0,18880.0,-25350.0
2026-01-14,4320260112030001,1,0.0,0,100,-100.0,-6570.0,18880.0,-25450.0
2026-01-14,4320260112030010,2,0.0,0,200,-200.0,-6770.0,18880.0,-25650.0
2026-01-14,5620260113020003,1,0.0,0,100,-100.0,-6870.0,18880.0,-25750.0
2026-01-14,8120260113020008,1,0.0,0,100,-100.0,-6970.0,18880.0,-25850.0
2026-01-15,2520260115010001,5,0.0,0,500,-500.0,-7470.0,18880.0,-26350.0
2026-01-15,2520260115010002,5,0.0,0,500,-500.0,-7970.0,18880.0,-26850.0
2026-01-15,2520260115010003,5,0.0,0,500,-500.0,-8470.0,18880.0,-27350.0
2026-01-15,2520260115010004,5,0.0,0,500,-500.0,-8970.0,18880.0,-27850.0
2026-01-15,2520260115010005,5,0.0,0,500,-500.0,-9470.0,18880.0,-28350.0
2026-01-15,2520260115010006,5,0.0,0,500,-500.0,-9970.0,18880.0,-28850.0
2026-01-15,2520260115010008,5,10660.0,1,500,10160.0,190.0,18880.0,-18690.0
2026-01-15,2520260115010012,5,0.0,0,500,-500.0,-310.0,18880.0,-19190.0
2026-01-15,3520260114020002,1,0.0,0,100,-100.0,-410.0,18880.0,-19290.0
2026-01-15,3520260114020009,1,0.0,0,100,-100.0,-510.0,18880.0,-19390.0
2026-01-15,5620260113030008,1,0.0,0,100,-100.0,-610.0,18880.0,-19490.0
2026-01-15,8120260113030011,1,0.0,0,100,-100.0,-710.0,18880.0,-19590.0
2026-01-15,8620260115010001,1,0.0,0,100,-100.0,-810.0,18880.0,-19690.0
2026-01-16,2520260115020001,5,0.0,0,500,-500.0,-1310.0,18880.0,-20190.0
2026-01-16,2520260115020003,5,0.0,0,500,-500.0,-1810.0,18880.0,-20690.0
2026-01-16,2520260115020004,5,0.0,0,500,-500.0,-2310.0,18880.0,-21190.0
2026-01-16,2520260115020005,6,0.0,0,600,-600.0,-2910.0,18880.0,-21790.0
2026-01-16,2520260115020009,5,0.0,0,500,-500.0,-3410.0,18880.0,-22290.0
2026-01-16,2520260115020010,5,0.0,0,500,-500.0,-3910.0,18880.0,-22790.0
2026-01-16,2520260115020012,2,0.0,0,200,-200.0,-4110.0,18880.0,-22990.0
2026-01-16,3520260114030006,5,0.0,0,500,-500.0,-4610.0,18880.0,-23490.0
2026-01-16,6120260115020004,1,0.0,0,100,-100.0,-4710.0,18880.0,-23590.0
2026-01-16,6120260115020005,1,0.0,0,100,-100.0,-4810.0,18880.0,-23690.0
2026-01-16,8620260115020006,1,0.0,0,100,-100.0,-4910.0,18880.0,-23790.0
2026-01-17,2520260115030001,5,0.0,0,500,-500.0,-5410.0,18880.0,-24290.0
2026-01-17,2520260115030003,7,0.0,0,700,-700.0,-6110.0,18880.0,-24990.0
2026-01-17,2520260115030004,5,0.0,0,500,-500.0,-6610.0,18880.0,-25490.0
2026-01-17,2520260115030005,5,0.0,0,500,-500.0,-7110.0,18880.0,-25990.0
2026-01-17,2520260115030007,5,0.0,0,500,-500.0,-7610.0,18880.0,-26490.0
2026-01-17,2520260115030008,5,0.0,0,500,-500.0,-8110.0,18880.0,-26990.0
2026-01-17,2520260115030009,5,0.0,0,500,-500.0,-8610.0,18880.0,-27490.0
2026-01-17,2520260115030010,5,0.0,0,500,-500.0,-9110.0,18880.0,-27990.0
2026-01-17,2520260115030011,6,0.0,0,600,-600.0,-9710.0,18880.0,-28590.0
2026-01-17,3720260116020008,1,0.0,0,100,-100.0,-9810.0,18880.0,-28690.0
2026-01-17,4420260115030005,1,0.0,0,100,-100.0,-9910.0,18880.0,-28790.0
2026-01-17,6120260115030008,1,0.0,0,100,-100.0,-10010.0,18880.0,-28890.0
2026-01-17,6120260115030010,1,0.0,0,100,-100.0,-10110.0,18880.0,-28990.0
2026-01-18,2520260115040001,5,0.0,0,500,-500.0,-10610.0,18880.0,-29490.0
2026-01-18,2520260115040004,5,0.0,0,500,-500.0,-11110.0,18880.0,-29990.0
2026-01-18,2520260115040005,5,0.0,0,500,-500.0,-11610.0,18880.0,-30490.0
2026-01-18,2520260115040006,5,0.0,0,500,-500.0,-12110.0,18880.0,-30990.0
2026-01-18,2520260115040007,5,0.0,0,500,-500.0,-12610.0,18880.0,-31490.0
2026-01-18,2520260115040009,5,0.0,0,500,-500.0,-13110.0,18880.0,-31990.0
2026-01-18,2520260115040010,5,17610.0,1,500,17110.0,4000.0,18880.0,-14880.0
2026-01-18,2520260115040011,5,0.0,0,500,-500.0,3500.0,18880.0,-15380.0
2026-01-18,6320260117020007,1,0.0,0,100,-100.0,3400.0,18880.0,-15480.0
2026-01-18,7420260117020003,1,0.0,0,100,-100.0,3300.0,18880.0,-15580.0
2026-01-19,2220260119010004,1,0.0,0,100,-100.0,3200.0,18880.0,-15680.0
2026-01-19,2220260119010008,1,0.0,0,100,-100.0,3100.0,18880.0,-15780.0
2026-01-19,4320260119010009,1,0.0,0,100,-100.0,3000.0,18880.0,-15880.0
2026-01-19,4520260117030004,2,0.0,0,200,-200.0,2800.0,18880.0,-16080.0
2026-01-19,6320260117030003,1,0.0,0,100,-100.0,2700.0,18880.0,-16180.0
2026-01-20,2220260119020001,1,0.0,0,100,-100.0,2600.0,18880.0,-16280.0
2026-01-20,2220260119020003,1,0.0,0,100,-100.0,2500.0,18880.0,-16380.0
2026-01-20,4320260119020003,1,0.0,0,100,-100.0,2400.0,18880.0,-16480.0
2026-01-20,5620260120010007,1,0.0,0,100,-100.0,2300.0,18880.0,-16580.0
2026-01-20,8420260118030002,2,0.0,0,200,-200.0,2100.0,18880.0,-16780.0
2026-01-20,8420260118030010,1,0.0,0,100,-100.0,2000.0,18880.0,-16880.0
2026-01-20,8620260120010002,1,0.0,0,100,-100.0,1900.0,18880.0,-16980.0
2026-01-20,8620260120010004,1,0.0,0,100,-100.0,1800.0,18880.0,-17080.0
2026-01-20,8620260120010006,1,0.0,0,100,-100.0,1700.0,18880.0,-17180.0
2026-01-21,2820260119030005,5,0.0,0,500,-500.0,1200.0,18880.0,-17680.0
2026-01-21,4320260119030007,1,0.0,0,100,-100.0,1100.0,18880.0,-17780.0
2026-01-22,1320260122010001,5,0.0,0,500,-500.0,600.0,18880.0,-18280.0
2026-01-22,1320260122010002,5,0.0,0,500,-500.0,100.0,18880.0,-18780.0
2026-01-22,1320260122010003,5,20580.0,1,500,20080.0,20180.0,20180.0,0.0
2026-01-22,1320260122010004,5,0.0,0,500,-500.0,19680.0,20180.0,-500.0
2026-01-22,1320260122010006,5,0.0,0,500,-500.0,19180.0,20180.0,-1000.0
2026-01-22,1320260122010008,5,0.0,0,500,-500.0,18680.0,20180.0,-1500.0
2026-01-22,1320260122010009,5,0.0,0,500,-500.0,18180.0,20180.0,-2000.0
2026-01-22,1320260122010011,5,0.0,0,500,-500.0,17680.0,20180.0,-2500.0
2026-01-22,1320260122010012,5,0.0,0,500,-500.0,17180.0,20180.0,-3000.0
2026-01-22,2620260122010004,1,0.0,0,100,-100.0,17080.0,20180.0,-3100.0
2026-01-22,3120260121020009,1,0.0,0,100,-100.0,16980.0,20180.0,-3200.0
2026-01-22,6120260122010002,1,0.0,0,100,-100.0,16880.0,20180.0,-3300.0
2026-01-23,1320260122020003,5,0.0,0,500,-500.0,16380.0,20180.0,-3800.0
2026-01-23,1320260122020004,5,0.0,0,500,-500.0,15880.0,20180.0,-4300.0
2026-01-23,1320260122020005,5,0.0,0,500,-500.0,15380.0,20180.0,-4800.0
2026-01-23,1320260122020006,5,0.0,0,500,-500.0,14880.0,20180.0,-5300.0
2026-01-23,1320260122020007,5,0.0,0,500,-500.0,14380.0,20180.0,-5800.0
2026-01-23,1320260122020008,5,0.0,0,500,-500.0,13880.0,20180.0,-6300.0
2026-01-23,1320260122020009,5,0.0,0,500,-500.0,13380.0,20180.0,-6800.0
2026-01-23,3120260121030006,1,0.0,0,100,-100.0,13280.0,20180.0,-6900.0
2026-01-23,6120260122020002,1,0.0,0,100,-100.0,13180.0,20180.0,-7000.0
2026-01-23,6120260122020011,2,0.0,0,200,-200.0,12980.0,20180.0,-7200.0
2026-01-24,1320260122030001,5,0.0,0,500,-500.0,12480.0,20180.0,-7700.0
2026-01-24,1320260122030004,5,0.0,0,500,-500.0,11980.0,20180.0,-8200.0
2026-01-24,1320260122030005,5,0.0,0,500,-500.0,11480.0,20180.0,-8700.0
2026-01-24,1320260122030006,5,0.0,0,500,-500.0,10980.0,20180.0,-9200.0
2026-01-24,1320260122030007,5,0.0,0,500,-500.0,10480.0,20180.0,-9700.0
2026-01-24,1320260122030008,5,0.0,0,500,-500.0,9980.0,20180.0,-10200.0
2026-01-24,1320260122030010,5,0.0,0,500,-500.0,9480.0,20180.0,-10700.0
2026-01-24,1320260122030011,5,0.0,0,500,-500.0,8980.0,20180.0,-11200.0
2026-01-24,2720260123020002,1,0.0,0,100,-100.0,8880.0,20180.0,-11300.0
2026-01-24,4820260124010007,1,0.0,0,100,-100.0,8780.0,20180.0,-11400.0
2026-01-24,6120260122030009,1,3000.0,1,100,2900.0,11680.0,20180.0,-8500.0
2026-01-24,8320260123020005,1,0.0,0,100,-100.0,11580.0,20180.0,-8600.0
2026-01-25,1320260122040002,5,0.0,0,500,-500.0,11080.0,20180.0,-9100.0
2026-01-25,1320260122040004,5,0.0,0,500,-500.0,10580.0,20180.0,-9600.0
2026-01-25,1320260122040005,5,0.0,0,500,-500.0,10080.0,20180.0,-10100.0
2026-01-25,1320260122040006,5,0.0,0,500,-500.0,9580.0,20180.0,-10600.0
2026-01-25,1320260122040007,6,0.0,0,600,-600.0,8980.0,20180.0,-11200.0
2026-01-25,1320260122040008,5,0.0,0,500,-500.0,8480.0,20180.0,-11700.0
2026-01-25,1320260122040010,5,0.0,0,500,-500.0,7980.0,20180.0,-12200.0
2026-01-25,1320260122040011,5,0.0,0,500,-500.0,7480.0,20180.0,-12700.0
2026-01-25,1320260122040012,5,0.0,0,500,-500.0,6980.0,20180.0,-13200.0
2026-01-25,2720260123030006,1,0.0,0,100,-100.0,6880.0,20180.0,-13300.0
2026-01-25,3620260125010001,1,0.0,0,100,-100.0,6780.0,20180.0,-13400.0
2026-01-25,3620260125010010,1,0.0,0,100,-100.0,6680.0,20180.0,-13500.0
2026-01-25,3720260125010007,1,0.0,0,100,-100.0,6580.0,20180.0,-13600.0
2026-01-25,3720260125010011,1,0.0,0,100,-100.0,6480.0,20180.0,-13700.0
2026-01-25,4820260124020002,1,0.0,0,100,-100.0,6380.0,20180.0,-13800.0
2026-01-25,4820260124020005,1,0.0,0,100,-100.0,6280.0,20180.0,-13900.0
2026-01-25,4820260124020007,1,0.0,0,100,-100.0,6180.0,20180.0,-14000.0
2026-01-25,4820260124020008,1,0.0,0,100,-100.0,6080.0,20180.0,-14100.0
2026-01-26,2320260126010006,1,0.0,0,100,-100.0,5980.0,20180.0,-14200.0
2026-01-26,3620260125020007,1,0.0,0,100,-100.0,5880.0,20180.0,-14300.0
2026-01-26,3620260125020010,1,0.0,0,100,-100.0,5780.0,20180.0,-14400.0
2026-01-26,3720260125020002,1,0.0,0,100,-100.0,5680.0,20180.0,-14500.0
2026-01-27,2320260126020010,1,0.0,0,100,-100.0,5580.0,20180.0,-14600.0
2026-01-27,3620260125030012,1,0.0,0,100,-100.0,5480.0,20180.0,-14700.0
2026-01-27,3720260125030003,1,0.0,0,100,-100.0,5380.0,20180.0,-14800.0
2026-01-27,3720260125030011,1,0.0,0,100,-100.0,5280.0,20180.0,-14900.0
2026-01-27,8720260127010005,1,0.0,0,100,-100.0,5180.0,20180.0,-15000.0
2026-01-27,8720260127010009,1,0.0,0,100,-100.0,5080.0,20180.0,-15100.0
2026-01-28,2320260126030002,1,0.0,0,100,-100.0,4980.0,20180.0,-15200.0
2026-01-28,8120260126030003,1,0.0,0,100,-100.0,4880.0,20180.0,-15300.0
2026-01-28,8120260126030005,1,0.0,0,100,-100.0,4780.0,20180.0,-15400.0
2026-01-28,8720260127020012,1,0.0,0,100,-100.0,4680.0,20180.0,-15500.0
2026-01-29,2720260129010002,1,0.0,0,100,-100.0,4580.0,20180.0,-15600.0
2026-01-29,2720260129010005,1,0.0,0,100,-100.0,4480.0,20180.0,-15700.0
2026-01-29,3120260127030002,1,0.0,0,100,-100.0,4380.0,20180.0,-15800.0
2026-01-29,3120260127030005,1,0.0,0,100,-100.0,4280.0,20180.0,-15900.0
2026-01-29,3120260127030007,1,3030.0,1,100,2930.0,7210.0,20180.0,-12970.0
2026-01-29,7320260129010001,5,0.0,0,500,-500.0,6710.0,20180.0,-13470.0
2026-01-29,7320260129010002,5,0.0,0,500,-500.0,6210.0,20180.0,-13970.0
2026-01-29,7320260129010007,5,0.0,0,500,-500.0,5710.0,20180.0,-14470.0
2026-01-29,7320260129010008,5,0.0,0,500,-500.0,5210.0,20180.0,-14970.0
2026-01-29,7320260129010009,5,0.0,0,500,-500.0,4710.0,20180.0,-15470.0
2026-01-29,7320260129010012,4,0.0,0,400,-400.0,4310.0,20180.0,-15870.0
2026-01-30,2720260129020004,1,0.0,0,100,-100.0,4210.0,20180.0,-15970.0
2026-01-30,2720260129020008,1,0.0,0,100,-100.0,4110.0,20180.0,-16070.0
2026-01-30,5320260129020009,1,0.0,0,100,-100.0,4010.0,20180.0,-16170.0
2026-01-30,7320260129020002,5,0.0,0,500,-500.0,3510.0,20180.0,-16670.0
2026-01-30,7320260129020007,5,0.0,0,500,-500.0,3010.0,20180.0,-17170.0
2026-01-31,2320260131010004,1,0.0,0,100,-100.0,2910.0,20180.0,-17270.0
2026-01-31,2420260131010001,1,0.0,0,100,-100.0,2810.0,20180.0,-17370.0
2026-01-31,2420260131010007,1,0.0,0,100,-100.0,2710.0,20180.0,-17470.0
2026-01-31,3820260131010001,1,0.0,0,100,-100.0,2610.0,20180.0,-17570.0
2026-01-31,3820260131010011,1,0.0,0,100,-100.0,2510.0,20180.0,-17670.0
2026-01-31,7320260129030005,5,0.0,0,500,-500.0,2010.0,20180.0,-18170.0
2026-01-31,7320260129030006,6,0.0,0,600,-600.0,1410.0,20180.0,-18770.0
2026-01-31,7320260129030008,5,0.0,0,500,-500.0,910.0,20180.0,-19270.0
2026-01-31,7320260129030009,5,0.0,0,500,-500.0,410.0,20180.0,-19770.0
2026-01-31,7320260129030010,5,0.0,0,500,-500.0,-90.0,20180.0,-20270.0
2026-01-31,7320260129030011,6,0.0,0,600,-600.0,-690.0,20180.0,-20870.0
2026-01-31,8620260130020008,1,0.0,0,100,-100.0,-790.0,20180.0,-20970.0
2026-02-01,2320260131020002,1,0.0,0,100,-100.0,-890.0,20180.0,-21070.0
2026-02-01,2420260131020008,1,0.0,0,100,-100.0,-990.0,20180.0,-21170.0
2026-02-01,3720260201010002,1,0.0,0,100,-100.0,-1090.0,20180.0,-21270.0
2026-02-01,7320260129040002,1,0.0,0,100,-100.0,-1190.0,20180.0,-21370.0
2026-02-01,7320260129040004,5,0.0,0,500,-500.0,-1690.0,20180.0,-21870.0
2026-02-01,7320260129040007,5,0.0,0,500,-500.0,-2190.0,20180.0,-22370.0
2026-02-01,7320260129040008,5,0.0,0,500,-500.0,-2690.0,20180.0,-22870.0
2026-02-01,7320260129040012,5,0.0,0,500,-500.0,-3190.0,20180.0,-23370.0
2026-02-02,2420260131030006,1,0.0,0,100,-100.0,-3290.0,20180.0,-23470.0
2026-02-02,3720260201020004,1,0.0,0,100,-100.0,-3390.0,20180.0,-23570.0
2026-02-02,3820260131030003,5,0.0,0,500,-500.0,-3890.0,20180.0,-24070.0
2026-02-02,4720260201020003,1,0.0,0,100,-100.0,-3990.0,20180.0,-24170.0
2026-02-02,4720260201020005,1,0.0,0,100,-100.0,-4090.0,20180.0,-24270.0
2026-02-02,5520260202010002,1,0.0,0,100,-100.0,-4190.0,20180.0,-24370.0
2026-02-02,5520260202010003,1,0.0,0,100,-100.0,-4290.0,20180.0,-24470.0
