rule,race_count,tickets,bet,return,profit,roi,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_odds,median_odds,avg_expected_roi,min_expected_roi,avg_hit_payout,max_hit_payout
race_score>=0.45_odds_50plus_ev>=2.0_top1,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
race_score>=0.45_odds_50plus_ev>=3.0_top1,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
race_score>=0.45_odds_100plus_top1_by_value_score,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
race_score>=0.45_odds_100plus_top1_by_expected_roi,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
race_score>=0.45_odds_100plus_ev>=0.8_top1,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
race_score>=0.45_odds_100plus_ev>=1.0_top1,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
race_score>=0.45_odds_100plus_ev>=1.2_top1,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
race_score>=0.45_odds_100plus_ev>=1.5_top1,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
race_score>=0.45_odds_100plus_ev>=2.0_top1,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
race_score>=0.45_odds_100plus_ev>=3.0_top1,1047,1047,104700,778840,674140,7.438777459407832,1,0.0009551098376313276,0.0009551098376313276,0.5736019947536628,0.4500906629413549,6498.847373447946,6702.9,13.31358931581292,3.1437656078847573,778840.0,778840
