rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months,enough_hits
odds_200_2000_race>=0.4_score>=0.2_expected>=10000_top10_by_direct_expected_return,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.2567346622047802,0.2000400479025765,777.3396306818181,576.2,18951.04336849321,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.45_score>=0.2_expected>=10000_top10_by_direct_ticket_score,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.26576011709073327,0.2000400479025765,689.2875,497.9,17380.296173361607,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.45_score>=0.2_expected>=10000_top10_by_direct_expected_return,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.2567346622047802,0.2000400479025765,777.3396306818181,576.2,18951.04336849321,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.5_score>=0.2_expected>=10000_top10_by_direct_ticket_score,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.26576011709073327,0.2000400479025765,689.2875,497.9,17380.296173361607,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.5_score>=0.2_expected>=10000_top10_by_direct_expected_return,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.2567346622047802,0.2000400479025765,777.3396306818181,576.2,18951.04336849321,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.55_score>=0.2_expected>=10000_top10_by_direct_ticket_score,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.26576011709073327,0.2000400479025765,689.2875,497.9,17380.296173361607,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.55_score>=0.2_expected>=10000_top10_by_direct_expected_return,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.2567346622047802,0.2000400479025765,777.3396306818181,576.2,18951.04336849321,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.6_score>=0.2_expected>=10000_top10_by_direct_ticket_score,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.26576011709073327,0.2000400479025765,689.2875,497.9,17380.296173361607,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_200_2000_race>=0.6_score>=0.2_expected>=10000_top10_by_direct_expected_return,163,704,4.319018404907975,70400,465630,395230,6.6140625,4.8393465909090905,4,0.005681818181818182,0.024539877300613498,1.0,1.0,0.2567346622047802,0.2000400479025765,777.3396306818181,576.2,18951.04336849321,124940,0.26832463544015633,0.0,7.3517268651626475,6,3,False
odds_100plus_race>=0.3_score>=0.2_expected>=10000_top10_by_direct_ticket_score,164,709,4.323170731707317,70900,465630,394730,6.567418899858956,4.8052186177715095,4,0.005641748942172073,0.024390243902439025,1.0,1.0,0.26554918584716997,0.2000400479025765,702.6637517630465,501.1,17675.81045745031,124940,0.26832463544015633,0.0,7.312873839601875,6,3,False
